%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=209736, 2015/04/25 14:9:30.36)
2 21 8.557441e-01 1.084953e+00  2.567768778224573794e+02  2.567768778224573794e+02  2.767418346005710532e+02  3.154366513134077081e+02
3 31 8.676530e-01 1.178821e+00  2.127176720255482110e+02  2.130900104865320941e+02  2.431563483432474868e+02  3.513519857139173155e+02
1 11 8.746073e-01 1.035390e+00  2.545562438596106176e+02  2.545562438596106176e+02  3.910353860651343894e+02  1.557283495645576750e+03
2 21 9.445208e-01 1.142859e+00  2.287145784580513634e+02  2.287145784580513634e+02  2.714097295437449020e+02                       Inf
3 31 8.217201e-01 1.099325e+00  2.386843823965868694e+02  2.386843823965868694e+02  3.189276704725582476e+02                       Inf
2 21 8.487799e-01 1.098213e+00  2.545562438596106176e+02  2.742662491010061103e+02  3.135293963983369849e+02  1.028017454346189425e+03
4 41 8.653850e-01 1.244281e+00  2.052903237191624726e+02  2.052903237191624726e+02  2.117396168268542169e+02  2.686923210709794603e+02
4 41 7.886804e-01 1.145775e+00  2.353315160783702709e+02  2.353315160783702709e+02  2.849055452834161315e+02  5.469024715035520785e+02
3 31 8.832274e-01 1.160745e+00  2.269230110041579849e+02  2.269230110041579849e+02  2.575341157339944402e+02  6.698760376672877328e+02
3 31 8.040564e-01 1.116876e+00  2.545562438596106176e+02  2.721118214428981332e+02  2.876776111299285503e+02  3.794646665654189519e+02
5 51 7.837685e-01 1.209000e+00  2.265738999749544291e+02  2.265738999749544291e+02  2.585515991498572248e+02  1.029657611826532047e+03
5 51 7.792381e-01 1.267891e+00  2.006634476089739110e+02  2.006634476089739110e+02  2.557872342989558092e+02  7.381910069176688012e+02
4 41 8.824729e-01 1.260300e+00  2.254133039802061944e+02  2.254133039802061944e+02  2.756668546220006988e+02  3.827402024058303027e+02
4 41 7.440234e-01 1.136110e+00  2.545562438596106176e+02  2.563699819718425488e+02  2.738640486066691437e+02  3.839830854487935312e+02
6 61 7.854012e-01 1.274233e+00  2.108421927018830786e+02  2.108421927018830786e+02  2.474598821294951847e+02  3.484656615464213587e+02
6 61 7.868448e-01 1.271717e+00  1.970466978561829876e+02  1.970466978561829876e+02  2.173048656544125379e+02  3.082457324495162538e+02
7 71 7.653464e-01 1.313122e+00  2.108421927018830786e+02  2.192370882452823935e+02  2.408934809736465752e+02  4.788814341394821668e+02
5 51 7.002055e-01 1.159842e+00  2.494101774248261165e+02  2.494101774248261165e+02  2.731471188063065938e+02  3.142439914943506096e+02
5 51 9.226359e-01 1.322910e+00  2.183463331677151018e+02  2.183463331677151018e+02  2.391512107267595866e+02  3.605419784616560719e+02
8 81 7.176557e-01 1.321028e+00  2.108421927018830786e+02  2.392271407252751487e+02  2.473808907608851655e+02  3.004483010235202300e+02
6 61 7.022907e-01 1.167909e+00  2.334316664848516325e+02  2.334316664848516325e+02  2.692283483548684444e+02  3.241705817246060519e+02
7 71 7.475335e-01 1.283822e+00  1.970466978561829876e+02  2.043542198892682791e+02  2.281821051837947607e+02  4.035896261119486326e+02
6 61 9.271565e-01 1.373109e+00  2.148772723098825566e+02  2.148772723098825566e+02  2.228291121278163303e+02  2.771958286135028970e+02
9 91 6.685663e-01 1.328611e+00  2.108421927018830786e+02  2.276662688506984580e+02  2.620074436436573251e+02  3.457247418204837572e+02
7 71 7.893616e-01 1.296628e+00  2.104877715488358376e+02  2.104877715488358376e+02  2.532079946570314632e+02  3.208529896577604177e+02
7 71 9.118799e-01 1.422417e+00  2.054085835956409198e+02  2.054085835956409198e+02  2.425953180057533132e+02  3.727956858964778348e+02
8 81 8.029699e-01 1.354356e+00  2.084350305410872011e+02  2.084350305410872011e+02  2.385918746353149231e+02  3.541640608709278695e+02
10 101 6.040121e-01 1.338613e+00  2.108268735143947197e+02  2.108268735143947197e+02  2.563490230606773821e+02  2.767370301749821238e+02
