%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=209736, 2015/04/25 14:9:30.36)
2 21 8.557441e-01 1.046509e+00 9.645659e-01 9.645659e-01 9.648342e-01 9.659760e-01 9.678196e-01 9.710024e-01 9.767543e-01 9.872487e-01 9.924759e-01 1.013268e+00 1.046509e+00 
3 31 8.676530e-01 1.118238e+00 9.486077e-01 9.486077e-01 9.492205e-01 9.529652e-01 9.575308e-01 9.587514e-01 9.685461e-01 9.823899e-01 9.970691e-01 1.034995e+00 1.118238e+00 
1 11 8.746073e-01 1.016879e+00 9.821211e-01 9.821211e-01 9.821211e-01 9.821211e-01 9.821211e-01 9.821211e-01 9.827866e-01 9.845824e-01 9.889019e-01 1.007216e+00 1.016879e+00 
2 21 9.445208e-01 1.102636e+00 9.648049e-01 9.648049e-01 9.650719e-01 9.666097e-01 9.682608e-01 9.702862e-01 9.728922e-01 9.781430e-01 9.894428e-01 1.029043e+00 1.102636e+00 
3 31 8.217201e-01 1.042981e+00 9.487468e-01 9.487468e-01 9.503001e-01 9.522413e-01 9.605751e-01 9.616264e-01 9.755141e-01 9.966081e-01 9.986830e-01 1.032665e+00 1.042981e+00 
2 21 8.487799e-01 1.059296e+00 9.645629e-01 9.645629e-01 9.647133e-01 9.650980e-01 9.664878e-01 9.689780e-01 9.729243e-01 9.878118e-01 9.950386e-01 1.003693e+00 1.059296e+00 
4 41 8.653850e-01 1.160551e+00 9.327085e-01 9.327085e-01 9.352689e-01 9.380362e-01 9.424981e-01 9.515754e-01 9.606525e-01 9.666260e-01 9.809933e-01 1.035646e+00 1.160551e+00 
4 41 7.886804e-01 1.068984e+00 9.329796e-01 9.329796e-01 9.373290e-01 9.384134e-01 9.482978e-01 9.521764e-01 9.658920e-01 9.913587e-01 1.009613e+00 1.016545e+00 1.068984e+00 
3 31 8.832274e-01 1.101103e+00 9.486171e-01 9.486171e-01 9.499998e-01 9.531774e-01 9.556454e-01 9.604096e-01 9.679656e-01 9.704277e-01 9.932940e-01 1.032954e+00 1.101103e+00 
3 31 8.040564e-01 1.058254e+00 9.475129e-01 9.475129e-01 9.483758e-01 9.519007e-01 9.537919e-01 9.612376e-01 9.731965e-01 9.831672e-01 9.984613e-01 1.040211e+00 1.058254e+00 
