%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209736, 2015/04/25 14:9:30.36)
2 21  2.567768778224573794e+02 0 0 4.820721e-01 4.348788e+00 6.178112e+00 4.350058e+00 8.087051e-01 5.306767e+00 4.412888e+00 -1.212583e+00 1.654456e+00 9.307876e-01 
3 31  2.130900104865320941e+02 0 0 1.498274e+00 6.271696e+00 6.262309e+00 5.093144e+00 7.068479e-01 4.311740e+00 6.138899e+00 1.951807e+00 2.129993e+00 -6.975765e-01 
1 11  2.545562438596106176e+02 0 0 -4.706604e-01 5.010755e+00 4.815809e+00 5.028755e+00 1.111618e+00 5.338536e+00 4.964325e+00 -6.076290e-01 1.525453e+00 1.472750e-01 
2 21  2.287145784580513634e+02 0 0 9.864626e-01 5.452358e+00 5.858280e+00 5.385478e+00 8.710686e-01 4.133077e+00 6.150932e+00 1.099965e+00 2.143576e+00 -4.257030e-03 
3 31  2.386843823965868694e+02 0 0 1.470149e+00 5.458299e+00 5.749603e+00 5.740552e+00 -1.094884e-01 5.387685e+00 4.593146e+00 -1.318380e+00 1.319526e+00 1.518861e+00 
2 21  2.742662491010061103e+02 0 0 -8.505074e-01 5.346451e+00 4.645045e+00 5.485088e+00 8.644232e-01 3.691598e+00 4.451006e+00 3.819631e-01 2.248371e+00 2.364602e+00 
4 41  2.052903237191624726e+02 0 0 3.991850e-01 4.970262e+00 6.775750e+00 6.282914e+00 5.918242e-01 5.236109e+00 5.537043e+00 2.850838e+00 1.892911e+00 -1.727451e-01 
4 41  2.353315160783702709e+02 0 0 7.073132e-01 5.326252e+00 6.483670e+00 5.804211e+00 6.254628e-01 6.057769e+00 4.725363e+00 -1.687731e+00 1.032455e+00 1.196555e+00 
3 31  2.269230110041579849e+02 0 0 1.234584e+00 5.418953e+00 6.692547e+00 3.664101e+00 1.064895e-01 5.171589e+00 7.463539e+00 1.006503e-01 1.657134e+00 -3.783044e-02 
3 31  2.721118214428981332e+02 0 0 -3.135092e-02 5.337811e+00 3.195638e+00 5.496715e+00 5.331542e-01 3.867804e+00 6.750671e+00 4.807557e-01 1.347214e+00 1.747736e+00 
5 51  2.265738999749544291e+02 0 0 6.136374e-02 5.930513e+00 6.990158e+00 5.368038e+00 2.520134e-01 6.570685e+00 5.005143e+00 -1.206558e+00 1.704393e+00 8.348621e-01 
5 51  2.006634476089739110e+02 0 0 2.095066e+00 5.518188e+00 6.452581e+00 5.658967e+00 -2.101597e-02 4.789907e+00 5.478900e+00 4.707553e-01 1.630128e+00 1.964512e-01 
4 41  2.254133039802061944e+02 0 0 2.662373e+00 5.418410e+00 6.419557e+00 4.986152e+00 2.037313e-01 4.919076e+00 8.009110e+00 2.751398e+00 2.104871e+00 -3.133531e-01 
4 41  2.563699819718425488e+02 0 0 -4.238391e-01 5.085931e+00 5.357665e+00 4.158551e+00 1.486389e+00 4.756599e+00 4.584301e+00 4.562657e-01 1.986773e+00 1.854460e+00 
6 61  2.108421927018830786e+02 0 0 9.258757e-01 5.949379e+00 5.734699e+00 5.651542e+00 1.007921e+00 6.918201e+00 5.827904e+00 -4.326731e-01 1.283404e+00 1.126987e+00 
6 61  1.970466978561829876e+02 0 0 3.895053e-01 5.107391e+00 6.140927e+00 7.101492e+00 7.106462e-01 4.958967e+00 5.897178e+00 7.017090e-02 1.522702e+00 -5.334471e-01 
7 71  2.192370882452823935e+02 0 0 1.600680e+00 6.303654e+00 5.724666e+00 5.890352e+00 8.227283e-03 6.188772e+00 5.906819e+00 -8.596101e-01 1.845606e+00 8.802310e-01 
5 51  2.494101774248261165e+02 0 0 -1.011067e+00 4.808061e+00 5.152296e+00 6.330928e+00 8.968024e-01 5.966511e+00 4.444786e+00 3.668284e-01 1.714374e+00 2.051316e+00 
5 51  2.183463331677151018e+02 0 0 2.587810e+00 6.357245e+00 6.107356e+00 5.635816e+00 3.188364e-01 5.243745e+00 7.716834e+00 1.720270e+00 1.602779e+00 9.977282e-01 
8 81  2.392271407252751487e+02 0 0 7.785052e-01 5.478486e+00 6.268658e+00 5.598331e+00 -8.383655e-02 6.617550e+00 5.483284e+00 -1.219183e+00 9.895341e-01 7.919752e-01 
6 61  2.334316664848516325e+02 0 0 1.150060e+00 5.090901e+00 4.992011e+00 6.181614e+00 6.445786e-01 5.550048e+00 4.583381e+00 1.878730e+00 1.997150e+00 1.938551e+00 
7 71  2.043542198892682791e+02 0 0 1.529873e+00 5.810926e+00 4.898268e+00 6.082621e+00 8.336769e-01 4.545465e+00 6.901864e+00 1.190479e+00 1.742906e+00 -4.253727e-01 
6 61  2.148772723098825566e+02 0 0 3.433473e+00 5.784806e+00 6.129727e+00 5.544622e+00 1.043110e+00 4.933390e+00 7.247385e+00 1.717431e+00 1.484146e+00 8.314275e-01 
9 91  2.276662688506984580e+02 0 0 1.407836e+00 4.860953e+00 6.027209e+00 6.063316e+00 2.411981e-01 5.521299e+00 5.878704e+00 -1.370131e+00 1.968374e+00 2.128016e-01 
7 71  2.104877715488358376e+02 0 0 9.582342e-01 6.738949e+00 5.392291e+00 4.363601e+00 1.543342e+00 6.705592e+00 5.646438e+00 5.952835e-01 1.196287e+00 7.741717e-01 
